Name,Model Number,Minimum Amount,Manufacturer,Category,Require Serial,Depreciation,EOL,Notes,Fieldset,Requestable
Samsung Galaxy Tab S 10.5,178363417-0,494,Eadel,Home,true,amet erat nulla tempus,186,Customer-focused,Laptops and Desktops,true
Oppo R7 lite,500968032-7,88,Dynabox,Crafts,false,ac,59,bandwidth-monitored,Laptops and Desktops,true
XOLO Era X,575396693-4,306,Blognation,Food - Baking Goods,false,non mauris morbi non lectus,61,5th generation,Laptops and Desktops,false
Nokia Oro,200592569-1,,Npath,Food - Frozen Foods,true,,164,initiative,Mobile Devices,true
Celkon A40,750041313-0,147,Lazzy,Fitness,true,convallis duis consequat,90,6th generation,Laptops and Desktops,false
Motorola MILESTONE 3 XT860,228272658-8,435,Brainbox,Food - Breakfast,false,tincidunt ante vel,188,Versatile,Mobile Devices,true
Asus PadFone Infinity,116970393-3,383,Mudo,Food - Frozen,true,,171,Decentralized,Laptops and Desktops,false
Lenovo S856,063191821-3,355,Kayveo,Toys,false,odio porttitor id consequat,31,intranet,Mobile Devices,false
Oppo R9s,622792144-0,47,Eire,Food - Breakfast,true,est et tempus semper,,Multi-tiered,Mobile Devices,false
Samsung Galaxy A41,390834664-9,282,Twimbo,Food - Beverages,true,neque sapien placerat,226,service-desk,,false
Samsung R860 Caliber,474748165-6,137,Cogidoo,Office,false,lobortis convallis tortor,211,neural-net,,false
HTC One SC,530217271-2,429,Oyoba,Pets,false,mauris laoreet,199,Assimilated,Laptops and Desktops,true
Nokia 8890,034828604-X,425,Devbug,Food - Seafood,false,,77,Programmable,Laptops and Desktops,false
Micromax A90s,048775775-0,370,Wikido,Food - Frozen Foods,true,dis parturient montes,177,paradigm,Laptops and Desktops,false
Gigabyte GSmart G1315 Skate,981537934-8,319,Buzzdog,Home,false,urna ut,177,Triple-buffered,Laptops and Desktops,false
LG GU292,681690168-1,136,Babbleopia,Food - Household,true,est,180,open architecture,Mobile Devices,true
Siemens SL45i,925281156-7,256,Meejo,Food - Vegetables,true,orci luctus et,91,installation,Laptops and Desktops,true
Samsung Ativ Odyssey I930,319116642-4,70,Oyoba,Kitchen,true,in lectus,198,zero administration,Mobile Devices,false
Huawei Y6 (2018),607968970-7,437,Topiclounge,Outdoor,true,bibendum,129,Adaptive,Laptops and Desktops,true
Samsung I997 Infuse 4G,633386292-4,396,Realbridge,Food - Baking,true,ac lobortis vel dapibus at,65,neural-net,Mobile Devices,true
Gionee Pioneer P5W,091000720-9,448,Blogspan,Grooming,false,augue a suscipit,154,project,Laptops and Desktops,true
Coolpad Cool 6,410984712-5,51,Roombo,Fitness,true,iaculis justo in hac habitasse,107,Face to face,Laptops and Desktops,true
Spice Mi-496 Spice Coolpad 2,802180025-9,118,Gabspot,Food - Breakfast,true,faucibus orci luctus et,166,Face to face,Laptops and Desktops,true
ZTE V96,064793125-7,137,Topicshots,Clothing - Tops,true,integer tincidunt ante vel,228,Optional,Laptops and Desktops,true
Philips X815,957003625-7,74,Thoughtmix,Food - Frozen Foods,false,dictumst,81,,Laptops and Desktops,true
Oppo A53 (2015),210775180-3,391,Quimm,Electronics,true,,97,systematic,,true
Yezz Chico YZ200,082305496-9,,Eidel,Toys,false,blandit mi,1,actuating,Mobile Devices,true
LG Optimus L3 E400,031609824-8,335,Teklist,Food - Snacks,true,nascetur ridiculus mus vivamus,40,hub,Laptops and Desktops,false
Motorola RAZR V3i,288850168-6,374,Voonix,Food - Condiments,true,augue a,194,circuit,Mobile Devices,true
Karbonn Titanium S1 Plus,463937492-5,39,Flipopia,Fitness,false,vestibulum vestibulum ante,147,Business-focused,Laptops and Desktops,false
HTC Magic,465673057-2,308,,Beauty,false,et ultrices,193,Switchable,Laptops and Desktops,true
Yezz Andy 4.5M,229378069-4,5,Reallinks,Food - Dried Fruits,true,ut erat curabitur gravida,45,systematic,Laptops and Desktops,true
BenQ-Siemens A58,919193437-0,48,Jazzy,Clothing - Sweaters,false,felis,75,moratorium,Laptops and Desktops,false
Qtek 8080,901144320-9,430,Dabjam,Food - Prepared Foods,true,integer non,228,24 hour,,true
BLU Vivo XL3,872330366-2,293,Reallinks,Clothing - Activewear,true,vel ipsum,143,Profound,Laptops and Desktops,true
Orange Hiro,271971125-X,407,Thoughtstorm,Food - Prepared Meals,false,,2,Monitored,Laptops and Desktops,false
Micromax X271,077476016-8,79,Dabfeed,Food - Deli Meats,false,tristique est et tempus,88,customer loyalty,Laptops and Desktops,false
Benefon Twin,321762097-6,450,Camimbo,Kitchen,true,libero nam dui,96,matrix,Laptops and Desktops,false
Celkon A99,948770879-0,,Vinder,Food - Meat,false,eget congue eget,113,open system,Laptops and Desktops,true
Amoi A675,792216556-0,458,Trupe,Food - Baking,false,dis parturient,163,,,true
ZTE Zmax,578195003-6,224,Brainsphere,Kitchen,false,nisi at,122,well-modulated,Laptops and Desktops,true
Haier A66,384467703-8,291,Zoonder,Clothing - Bottoms,false,justo sollicitudin,175,benchmark,Laptops and Desktops,true
Huawei U7520,993062057-5,374,Linkbuzz,Food - Salads,false,pellentesque,102,flexibility,Laptops and Desktops,true
Samsung Galaxy J,732388975-8,174,Trilia,Sports,false,donec dapibus duis at velit,100,Switchable,Laptops and Desktops,false
Maxwest Orbit Z50,475501105-1,128,Babbleblab,Food - Grains,true,gravida nisi,186,background,Laptops and Desktops,false
Micromax X276,632575127-2,,Twitterbridge,Outdoor,true,,,,Mobile Devices,false
Microsoft Surface Duo,201282190-1,265,Thoughtmix,Health,true,vulputate vitae nisl,225,uniform,Mobile Devices,false
LG Rumor Reflex  LN272,293463410-8,382,Yakidoo,Home,true,in porttitor pede justo eu,51,zero tolerance,Laptops and Desktops,false
i-mobile 319,558878446-4,438,,Food - Cereal,true,primis in faucibus orci luctus,159,incremental,Mobile Devices,false
Celkon C303,465917013-6,232,Roomm,Food - Meat,true,id nulla ultrices,100,Open-source,Mobile Devices,false
HTC Droid Incredible,062902455-3,291,Jabbersphere,Storage,false,pharetra magna vestibulum aliquet ultrices,68,success,Laptops and Desktops,false
Sony Ericsson Z320,582919836-3,441,Skyndu,Wearable Tech,false,dolor sit,45,executive,Laptops and Desktops,false
LG U8200,359818144-2,268,Aimbu,Outdoor,false,luctus,57,zero administration,Laptops and Desktops,false
Oppo A1k,965318607-8,238,Lajo,Pets,true,ante vel ipsum praesent blandit,,archive,Mobile Devices,false
Bird S667,281229300-4,102,Divanoodle,Food - Spices,false,,3,function,Mobile Devices,true
Sony Ericsson Z300,084566912-5,442,LiveZ,Kitchen,false,neque,7,,Mobile Devices,false
Meizu M1 Note,808721356-4,113,Dablist,Food - Breakfast,true,,196,grid-enabled,Mobile Devices,false
T-Mobile MDA Basic,635085815-8,212,Feedbug,Food - Canned Soups,true,ipsum primis in faucibus orci,,explicit,Laptops and Desktops,false
Nokia Lumia 928,735545625-3,460,Eamia,Fitness,true,duis bibendum morbi,157,infrastructure,Laptops and Desktops,false
Bird V79,863429313-0,256,Thoughtbridge,Clothing - Outerwear,true,pretium iaculis,153,process improvement,Mobile Devices,false
Benefon Vega,603203443-7,22,Jaxnation,Office,true,vel lectus in quam,95,high-level,Mobile Devices,true
Samsung S8000 Jet,525791500-6,11,Tazz,Food - Canned Goods,false,mi in,78,focus group,Laptops and Desktops,false
VK Mobile VK7000,121850354-8,380,Dazzlesphere,Food - Frozen Foods,false,integer,9,upward-trending,,false
Nokia 1110,650855553-7,258,,Food - Dairy,false,metus sapien ut nunc,180,real-time,,false
Allview E3 Sign,801648541-3,7,Babblestorm,Clothing,true,molestie sed,70,,Mobile Devices,true
alcatel OT-383,845460068-X,246,,Food - Frozen,true,libero,7,,Laptops and Desktops,true
Oppo Find,257521831-4,331,Gigashots,Food - Condiments,true,,,coherent,Laptops and Desktops,true
Samsung Galaxy S9,167167750-1,395,Innojam,Outdoor,true,,145,maximized,Mobile Devices,true
Asus Zenfone Go ZB450KL,191881451-1,168,Mymm,Food - Grains,false,tortor eu,100,task-force,Laptops and Desktops,true
Samsung Ch@t 350,461988021-3,232,,Home,true,vestibulum eget vulputate ut,200,capacity,Laptops and Desktops,false
Samsung S5250 Wave525,757190655-5,337,Meezzy,Food - Frozen Foods,false,vestibulum quam sapien varius,114,open architecture,Mobile Devices,false
Pantech Breeze IV,808994443-4,174,Fadeo,Food - Canned Goods,false,tristique fusce congue diam id,224,fault-tolerant,Laptops and Desktops,true
alcatel OT-803,736010905-1,101,Dablist,Food - Soups,true,dictumst morbi vestibulum,64,open architecture,Mobile Devices,false
Sony Ericsson K550,063161915-1,460,Wordware,Food - Snacks,true,,32,framework,Mobile Devices,true
Samsung B320,734384552-7,131,Lazzy,Food - Frozen Food,false,lectus in est,216,value-added,Mobile Devices,false
Plum Might LTE,792204607-3,475,Minyx,Food - Snacks,true,erat,23,non-volatile,Mobile Devices,false
BLU Texting 2 GO,706674464-0,,Yabox,Food - Pasta,true,nonummy,24,standardization,Mobile Devices,true
Sony Xperia ion LTE,787559085-X,368,Skimia,Home,true,auctor sed tristique in tempus,120,Intuitive,Mobile Devices,false
Nokia 114,653007752-9,493,Wordify,Audio,true,consequat morbi a,165,,Mobile Devices,false
Maxon MX-7940,575716472-7,120,Zava,Health,true,luctus ultricies eu nibh quisque,110,Customer-focused,Mobile Devices,true
Motorola V3688,774734143-1,355,,Food - Produce,true,a libero nam dui,,Persistent,Mobile Devices,false
Celkon C3000,826269721-9,,Twitterbridge,Clothing - Bottoms,true,nulla eget eros elementum pellentesque,13,Quality-focused,,true
Allview Soul X5 Style,648950899-0,86,Fliptune,Food - Condiments,false,velit donec diam neque vestibulum,144,product,Laptops and Desktops,false
Celkon C449,132468552-2,64,Gigashots,Electronics,true,vitae nisi nam,106,directional,Laptops and Desktops,false
Lenovo Vibe S1,113263913-1,175,Flashdog,Pets,false,nulla nisl nunc nisl,,interface,Mobile Devices,false
Yezz Andy YZ1100,332554041-4,372,,Food - Frozen,false,,138,Multi-layered,Mobile Devices,false
Samsung X300,673983154-8,364,Rooxo,Food - Breakfast,false,felis fusce,175,Reverse-engineered,Laptops and Desktops,false
XOLO Omega 5.5,404382856-X,17,Skidoo,Travel,false,etiam pretium iaculis,128,budgetary management,Laptops and Desktops,false
Samsung Galaxy Tab 8.9 P7300,180592051-0,391,Jatri,Home,false,risus dapibus augue vel,105,collaboration,Laptops and Desktops,true
Motorola One 5G,288862050-2,309,Mybuzz,Food - Snacks,false,id ligula suspendisse ornare consequat,191,,Mobile Devices,false
BLU Grand M2,222474094-8,25,Voonder,Home,false,,133,,Laptops and Desktops,true
Samsung Galaxy S21 Ultra 5G,627825410-7,169,Buzzbean,Home,true,in hac habitasse platea,44,multi-state,Laptops and Desktops,true
Samsung DuosTV I6712,882319427-X,483,,Food - Cereals,false,hac,210,projection,Mobile Devices,true
Ulefone Armor 7E,661601016-3,465,Brainsphere,Food - Bakery,false,,189,Diverse,Mobile Devices,false
Karbonn A27 Retina,077340427-9,326,Gabtype,Food - Canned Goods,false,vivamus,43,Programmable,Laptops and Desktops,false
LG U8138,418311040-8,97,Tagcat,Food - Breakfast,true,in felis donec semper sapien,,full-range,Mobile Devices,true
Gionee Pioneer P4S,300774276-5,169,Devpulse,Food - Health Foods,true,curae,47,,,false
LG Spectrum II 4G VS930,570827460-3,322,Latz,Pets,true,enim lorem,16,access,,false
Samsung C3322,598074462-2,95,Brainverse,Food - Snacks,false,rhoncus dui vel,161,optimizing,Laptops and Desktops,true
alcatel OT Gum db,466032411-7,102,,Home,false,odio,73,contingency,,false
Samsung E530,691572863-5,394,Zoonoodle,Food - Canned Goods,false,nulla ut erat id mauris,93,,Mobile Devices,true
Huawei MediaPad T2 7.0 Pro,570040114-2,269,Avamba,Food - Condiments,false,ante vel,94,Ergonomic,Laptops and Desktops,true
BLU Samba Elite,500811669-X,201,Ailane,Food - Condiments,false,tortor,226,secondary,Laptops and Desktops,true
LG Optimus LTE2,415360085-7,160,Yoveo,Food - Breakfast,true,lobortis convallis tortor risus,208,mobile,Laptops and Desktops,true
Nokia 2710 Navigation Edition,768142494-6,389,Kayveo,Home,false,tempus semper est,189,zero tolerance,Mobile Devices,false
Amoi M636,305222813-7,,Skaboo,Home Improvement,false,ut mauris eget massa,60,moderator,Mobile Devices,true
Oppo U701 Ulike,267841839-1,454,Fadeo,Food - Canned Goods,false,,83,disintermediate,Mobile Devices,false
Samsung Dart T499,886665347-0,429,Jaxworks,Food - Snacks,false,justo,112,next generation,Mobile Devices,true
Huawei nova 5T,578368768-5,79,Yodo,Food - Dairy,false,consequat nulla nisl,61,Down-sized,Laptops and Desktops,false
Allview P1 AllDro,649488401-6,108,Thoughtstorm,Food - Baking,false,faucibus accumsan odio curabitur,116,high-level,Mobile Devices,true
BlackBerry Bold Touch 9930,256065039-8,51,Kamba,Food - Bread,false,,151,system-worthy,Laptops and Desktops,false
YU Yureka 2,860094463-5,192,Jabbercube,Kitchen,false,sit amet erat,157,actuating,Laptops and Desktops,true
BLU Advance L4,930018714-7,389,Edgetag,Food - Frozen Foods,false,odio consequat varius integer,35,service-desk,Mobile Devices,true
Huawei Watch Fit,627308572-2,349,Reallinks,Kitchen,true,morbi porttitor lorem,34,middleware,Laptops and Desktops,false
Apple Watch Series 4,546117640-2,5,Meembee,Food - Dairy,true,,44,synergy,Mobile Devices,false
Motorola Moto G5 Plus,604587570-2,484,Dabjam,Kitchen,true,enim in tempor turpis nec,103,zero defect,Laptops and Desktops,true
Bird M29,413048549-0,474,Eimbee,Clothing - Outerwear,true,pulvinar sed nisl nunc rhoncus,92,capability,Mobile Devices,true
Archos 50 Graphite,004187885-X,288,Agimba,Clothing - Accessories,true,ridiculus,50,,Mobile Devices,false
Allview P9 Energy Lite,917780358-2,174,Skinix,Health,false,sit amet cursus id,199,Intuitive,Mobile Devices,true
Samsung Galaxy Pro B7510,446406601-1,294,Trudoo,Food - Fruits,true,porttitor,88,bi-directional,Laptops and Desktops,false
Gionee M30,353851181-0,252,Yakitri,Food - Baking Goods,false,luctus et ultrices posuere cubilia,,Down-sized,Mobile Devices,false
BLU C6L 2020,085826786-1,458,Skipstorm,Food - Snacks,false,magna vulputate luctus cum,,Ergonomic,Mobile Devices,true
Amazon Fire HD 6,255114532-5,50,Jaxspan,Automotive,false,,166,well-modulated,Laptops and Desktops,false
alcatel Idol 5,941242300-4,43,Flipstorm,Toys,true,,201,Intuitive,Mobile Devices,false
Sewon SGD-1010,741289945-7,489,Divanoodle,Automotive,true,,,24/7,Mobile Devices,true
Oppo U701 Ulike,361951038-5,469,Trilith,Electronics,false,,14,value-added,Mobile Devices,false
BlackBerry 7100x,351859684-5,113,Meembee,Clothing - Bottoms,true,fusce,190,array,Mobile Devices,true
Oppo Reno5 5G,960227759-9,187,Flashspan,Food - Sides,true,natoque penatibus et magnis dis,213,Diverse,Laptops and Desktops,true
Samsung i640,422004491-4,,Dabshots,Smart Home,true,fermentum donec,,knowledge user,Laptops and Desktops,true
Lava X46,426088582-0,206,Twiyo,Clothing - Bottoms,false,vestibulum ac est lacinia nisi,152,contingency,Mobile Devices,false
Spice Mi-451 Smartflo Poise,675574619-3,33,Linktype,Food - Cheese,true,neque,215,needs-based,Laptops and Desktops,true
Dell XCD35,663665786-3,88,Meejo,Food - Oils & Vinegars,false,,110,utilisation,,false
Micromax A190 Canvas HD Plus,918321734-7,72,Devpulse,Home,true,orci luctus,190,synergy,Mobile Devices,false
Samsung X620,682631607-2,179,,Food - Grains,true,mattis egestas,,4th generation,Mobile Devices,false
alcatel A7 XL,494973313-3,209,Rhyloo,Food - Dairy,true,leo odio porttitor,94,analyzing,Mobile Devices,true
NEC e808y,438826716-3,157,Feedspan,Bathroom,false,etiam,216,orchestration,Laptops and Desktops,false
LG T385,264216867-0,,Avaveo,Toys,true,nisl,181,Automated,Laptops and Desktops,false
Lenovo K3,000215266-5,396,Yabox,Sports,true,ac lobortis,159,even-keeled,Mobile Devices,false
Philips S800,330616502-6,293,Tambee,Food - Bread,false,nisi,61,adapter,Laptops and Desktops,true
Sony Xperia 10,461434474-7,364,Babbleopia,Food - Vegetarian,false,mattis nibh ligula nec,61,artificial intelligence,Mobile Devices,false
Philips Xenium X830,951709095-1,43,Gigashots,Food - Vegetables,true,aliquet pulvinar,,archive,Mobile Devices,true
HP Slate 17,721812034-2,273,Skaboo,Health,false,ac est lacinia,18,,Laptops and Desktops,false
Garmin-Asus A10,002225099-9,458,Leexo,Clothing - Activewear,true,penatibus et magnis dis parturient,167,info-mediaries,Laptops and Desktops,true
Samsung P6810 Galaxy Tab 7.7,706270512-8,111,Realblab,Food - Frozen Foods,false,non velit,56,Horizontal,,false
Panasonic Eluga I9,645365146-7,479,Wikido,Clothing,true,sit,51,,Laptops and Desktops,false
LG U8330,789544893-5,287,Quimba,Food - Frozen Foods,true,sapien dignissim vestibulum vestibulum,223,Multi-channelled,Mobile Devices,true
O2 XDA phone,177614955-6,412,Divanoodle,Food - Canned Goods,true,leo,139,full-range,Laptops and Desktops,false
Nokia Asha 502 Dual SIM,946679009-9,67,,Food - Condiments,false,duis aliquam convallis nunc proin,,Reduced,Laptops and Desktops,true
Samsung X200,001677426-4,403,Cogidoo,Kitchen,true,,73,time-frame,Laptops and Desktops,false
LG G Pad 5 10.1,824351749-9,294,Twitternation,Accessories,true,et,22,Up-sized,Laptops and Desktops,false
Prestigio MultiPad 7.0 Pro Duo,082248656-3,269,Rooxo,Kitchen,true,turpis integer aliquet massa,139,Focused,Mobile Devices,true
Micromax Vdeo 3,206054837-3,238,Edgepulse,Smart Home,true,tortor id nulla ultrices aliquet,27,web-enabled,Laptops and Desktops,true
Micromax A70,859945865-5,102,Eare,Food - Grains,false,sed,106,help-desk,Laptops and Desktops,false
Karbonn K52 Groovster,896037800-3,373,Oodoo,Food - Fruits,false,sed,225,circuit,Mobile Devices,false
Celkon C99,209819227-4,214,Blognation,Pets,false,ut suscipit a feugiat et,17,disintermediate,Mobile Devices,false
Microsoft Lumia 950,141564688-0,131,Yadel,Pets,false,porttitor lorem id,36,solution,Laptops and Desktops,false
Celkon C606,168141319-1,150,Thoughtstorm,Kitchen,true,,135,ability,Mobile Devices,true
Motorola ATRIX TV XT687,732082755-7,337,Skipstorm,Accessories,true,pellentesque ultrices phasellus id sapien,93,3rd generation,Mobile Devices,false
Nokia Lumia 900 AT&T,813860979-6,113,Blogspan,Food - Deli Meats,true,elementum ligula vehicula consequat morbi,225,budgetary management,Mobile Devices,false
BLU Dash L4 LTE,763871208-0,322,Tagopia,Food - Snacks,true,,228,explicit,Laptops and Desktops,false
Eten G500,125812026-7,258,Jetpulse,Food - Frozen Foods,true,in est risus auctor sed,,,Mobile Devices,false
Motorola XOOM 2 Media Edition MZ607,071664622-6,126,Camimbo,Food - Grains,true,tortor id nulla,141,exuding,,true
Asus Zenfone 2 Laser ZE500KL,799926944-1,,Topiczoom,Accessories,false,ultrices posuere cubilia curae,191,24/7,Laptops and Desktops,false
Micromax X640,860030132-7,122,Demivee,Food - Prepared Foods,false,penatibus et magnis,44,human-resource,,false
Tecno Spark,419247486-7,90,Twitterbeat,Toys,true,est,193,,Mobile Devices,true
Emporia Click Plus,779876720-7,35,Tambee,Food - Canned Goods,true,venenatis non sodales,193,moratorium,Laptops and Desktops,false
Panasonic P51,553170225-6,,Voomm,Pets,true,metus,,Self-enabling,Mobile Devices,false
Allview E4 Lite,378613671-8,310,Yotz,Food - Canned Goods,false,diam neque vestibulum eget,184,pricing structure,Laptops and Desktops,true
Motorola FIRE XT,049822420-1,9,Wikizz,Smart Home,true,luctus et ultrices posuere cubilia,21,bifurcated,Mobile Devices,false
Haier U69,895290214-9,81,Jabbercube,Food - Snacks,true,duis,30,Decentralized,Laptops and Desktops,true
ZTE Maven,972885998-8,188,Thoughtworks,Kitchen,false,viverra eget congue,141,leading edge,Mobile Devices,true
Prestigio MultiPhone 4505 Duo,798688919-5,,Livetube,Automotive,false,sapien cum sociis,143,instruction set,Laptops and Desktops,false
Samsung C3312 Duos,295916580-2,327,Tagpad,Kitchen,false,sit amet nulla quisque arcu,72,portal,Laptops and Desktops,true
Sagem MY C-1,327149463-0,288,Babblestorm,Outdoor,false,pulvinar nulla pede,,,Laptops and Desktops,false
Lenovo Tab 7,500058636-0,354,Skalith,Food - Soups,false,lobortis,,explicit,Mobile Devices,false
Tecno Pouvoir 4,256052547-X,184,Twitterbeat,Clothing - Tops,true,vitae nisl,69,Integrated,Mobile Devices,true
LG GB102,637045727-2,277,Yabox,Kitchen,true,orci,217,collaboration,Mobile Devices,true
Prestigio MultiPad 8.0 Pro Duo,365126402-5,419,Yadel,Food - Dairy,true,rutrum,,local area network,Mobile Devices,false
ZTE Grand S II S291,528974125-9,295,Yamia,Outdoor,true,at lorem integer tincidunt ante,67,matrix,,true
Micromax Funbook 3G P600,616602386-3,89,Browsetype,Food - Salads,false,aliquam sit amet diam in,65,functionalities,Laptops and Desktops,true
Samsung Galaxy Pro B7510,361223738-1,261,Eadel,Food - Bakery,false,accumsan,226,Customer-focused,Laptops and Desktops,true
Motorola EM28,172472836-9,231,Wordware,Food - Baked Goods,false,dapibus,91,logistical,Mobile Devices,true
HTC Desire VT,162910960-6,8,,Clothing - Shirts,true,hac habitasse platea dictumst etiam,1,Vision-oriented,Mobile Devices,false
Lenovo Tab 2 A10-70,956948167-6,,,Food - Condiments,false,semper interdum,43,,Laptops and Desktops,false
BenQ A500,960279767-3,128,Zoombeat,Baby,true,sit amet eleifend,24,framework,Mobile Devices,false
Samsung A800,223668644-7,461,Zoomdog,Food - Salads,true,rutrum neque aenean auctor,185,mobile,Laptops and Desktops,true
Tecno Pop 3 Plus,768322759-5,60,Gabvine,Health,true,eros suspendisse accumsan tortor,,asymmetric,Laptops and Desktops,false
Samsung T409,403946057-X,37,Gevee,Fitness,false,habitasse platea,148,Business-focused,Laptops and Desktops,false
Samsung D980,397404821-9,358,,Fitness,false,erat,4,monitoring,Mobile Devices,true
Motorola RAZR D1,467832812-2,254,Flipbug,Food - Snacks,true,ante vestibulum ante,7,open architecture,Mobile Devices,true
Samsung S730i,336087625-3,406,Aivee,Beauty,false,ornare consequat lectus in est,71,encompassing,Laptops and Desktops,false
Plum Optimax 2,373158288-0,154,Roodel,Food - Condiments,false,quam sapien varius,14,modular,Laptops and Desktops,false
Realme X9,505920969-5,206,Cogidoo,Food - Canned Soups,false,integer,126,Vision-oriented,Laptops and Desktops,true
Samsung Z170,559337211-X,172,Oyondu,Food - Frozen Meals,false,platea dictumst etiam faucibus,211,responsive,Mobile Devices,false
Acer Iconia Tab A701,312542209-4,80,Zava,Clothing - Bottoms,true,,,hub,Laptops and Desktops,true
Nokia Lumia 822,063014010-3,285,,Toys,true,nonummy maecenas tincidunt,57,human-resource,Mobile Devices,true
HTC Wildfire E,478129833-8,354,,Food - Produce,true,in consequat ut,95,,Laptops and Desktops,true
Micromax Canvas Win W121,842762401-8,423,Realpoint,Food,false,eros viverra eget congue,,conglomeration,Laptops and Desktops,true
Nokia 113,021152137-X,,Divavu,Food - Condiments,true,eu,89,,Laptops and Desktops,false
Nokia 7230,476117418-8,127,Skipfire,Clothing - Accessories,true,at,180,didactic,Laptops and Desktops,true
Oppo F11 Pro,331760973-7,316,Zoombeat,Food - Bakery,false,in hac,228,3rd generation,Laptops and Desktops,false
Nokia 3109 classic,819764816-6,390,Chatterbridge,Office,false,ultrices libero non mattis pulvinar,165,throughput,Laptops and Desktops,false
HTC Lead,747615339-1,,Zoomlounge,Kitchen,true,rutrum rutrum,119,explicit,Laptops and Desktops,false
Panasonic T11,526965719-8,77,Fivechat,Fitness,true,nisi volutpat,81,foreground,Laptops and Desktops,true
LG G1600,989923169-X,70,Reallinks,Travel,false,,61,Seamless,Laptops and Desktops,false
Motorola W388,429138231-6,281,Brainverse,Office,false,donec vitae nisi,52,Optimized,Mobile Devices,true
Philips Genie Sport,540089043-1,53,,Food - Snacks,false,duis aliquam,207,artificial intelligence,Laptops and Desktops,true
Microsoft Kin One,049440769-7,357,Yata,Food - Baking,true,,5,reciprocal,Mobile Devices,false
Icemobile Apollo 3G,581192802-5,495,Mynte,Home,false,volutpat convallis morbi odio odio,166,flexibility,Mobile Devices,false
Spice D-6666,493402160-4,440,Livetube,Food - Frozen Meals,true,,102,,Mobile Devices,false
Unnecto Air 5.5,788923185-7,285,Cogilith,Health,true,vulputate,182,Seamless,Laptops and Desktops,true
ZTE Speed,276794719-5,131,Thoughtstorm,Food - Nuts,true,elementum in,98,Profound,Laptops and Desktops,true
HTC Desire 400 dual sim,704407564-9,340,Linkbuzz,Automotive,true,a pede posuere nonummy,218,superstructure,Laptops and Desktops,true
Sharp GX15/GZ100,734731772-X,403,Jabberbean,Food - Condiments,false,ipsum primis in,198,Proactive,,false
Xiaomi Mi 10i 5G,089407036-3,26,Fivespan,Food - Soups,true,,,Managed,Laptops and Desktops,true
Sony CMD C1,716870547-4,88,,Tools,true,sit amet sapien dignissim vestibulum,142,access,Laptops and Desktops,false
Samsung M110S Galaxy S,335633869-2,353,Centidel,Food - Frozen Vegetables,true,,31,knowledge user,Laptops and Desktops,true
Philips W715,889936590-3,479,Dynava,Kitchen,false,lacus morbi sem mauris,17,Sharable,Laptops and Desktops,false
Xiaomi Redmi 5,261605799-9,57,,Accessories,true,eu,181,secondary,Mobile Devices,true
Amazon Fire HD 8 (2017),503826519-7,211,Flashpoint,Food - Vegetables,true,sed accumsan felis,197,eco-centric,Mobile Devices,true
Sagem my150X,910759422-4,32,Jabberbean,Pets,false,justo in hac habitasse,195,core,,true
Kyocera Hydro Xtrm,260011192-1,368,Jamia,Clothing - Pants,true,sed,,radical,Laptops and Desktops,false
alcatel OT-997D,893223710-7,253,,Food - Dairy,false,ut mauris eget massa,160,web-enabled,Laptops and Desktops,false
Nokia 7900 Crystal Prism,724202573-7,260,Feedfish,Food - Snacks,false,vehicula,,fresh-thinking,Mobile Devices,false
Huawei Enjoy 10,880661561-0,223,,Clothing - Footwear,true,in tempus sit,17,Digitized,Mobile Devices,false
vivo V3Max,150192754-X,181,,Health,true,etiam pretium iaculis,89,circuit,Mobile Devices,true
Posh Revel Pro X510,947810104-8,,Voomm,Crafts,true,tristique fusce congue diam,191,local,Mobile Devices,true
Ulefone Note 7P,860615753-8,216,Jazzy,Kitchen,false,volutpat,227,homogeneous,Mobile Devices,false
XOLO Q900,269814248-0,34,Quire,Food,false,lacus curabitur,133,,Laptops and Desktops,false
Amoi CA6,125656201-7,11,Zoomdog,Food - Salads,false,interdum in ante vestibulum,106,Self-enabling,Mobile Devices,true
BLU Dash L2,618675451-0,430,Pixoboo,Food - Beverages,true,venenatis,145,array,Mobile Devices,true
Gigabyte GSmart GX2,791285162-3,297,Edgetag,Food - Breakfast,false,sit amet justo morbi,151,database,Mobile Devices,false
ZTE V880E,444508423-9,73,,Food - Dairy,true,nulla mollis,110,Self-enabling,Laptops and Desktops,true
Huawei U8520 Duplex,714527427-2,500,Demizz,Kitchen,true,sit amet consectetuer adipiscing elit,130,maximized,Laptops and Desktops,false
alcatel 3L (2020),860062512-2,132,Vipe,Photography,true,justo morbi,86,optimizing,,false
Apple Watch Edition Series 2 38mm,799689187-7,480,Wordify,Food - Nut Butters,true,in hac habitasse,144,web-enabled,Laptops and Desktops,false
verykool s5200 Orion,441470919-9,,Katz,Home,false,proin risus praesent lectus,146,knowledge base,Mobile Devices,true
Wiko Rainbow Lite 4G,948242923-0,302,Wordpedia,Outdoor,false,molestie hendrerit at vulputate vitae,42,empowering,Laptops and Desktops,false
Samsung W880 AMOLED 12M,354145490-3,134,Skipstorm,Food - Frozen Desserts,true,nisi venenatis,125,mobile,Mobile Devices,true
LG GX500,505140863-X,68,Flipopia,Kitchen,true,mi in porttitor,191,Total,Mobile Devices,false
