Name,Category,Location,Supplier,Company,Quantity,Minimum Quantity,Model Number,Item Number,Notes,Manufacturer,Purchase Date,Purchase Cost,Order Number
Smart Wi-Fi Light Bulbs,Smart Home,Palestina,,Zoonoodle,88,32,022463598-0,653280508-4,Energy-efficient LED bulbs that can be controlled via smartphone.,Abatz,2025-10-07,,274970801
DIY Lip Balm Making Kit,Crafts,,Quinu,Quamba,76,25,152373898-7,631965213-6,Complete kit to make your own flavored lip balms at home.,Skinder,2025-10-07,68.15,114911807
Kids' Outdoor Explorer Kit,Toys,Chlumčany,Skynoodle,Nlounge,27,8,223695882-X,766834036-X,Fun kit for aspiring explorers with binoculars and a compass.,Fiveclub,2026-02-06,62.2,322285752
Fettuccine Alfredo Dinner Kit,Food - Prepared Meals,Miaoya,Realpoint,Browsezoom,68,91,,447034028-6,Easy meal kit for creamy fettuccine Alfredo.,Jaxbean,2026-02-08,,111304912
Roasted Garlic,Food - Condiments,Atamyrat,Aimbu,Centimia,57,90,042001009-2,,Savory roasted garlic in a jar for easy use.,Dabtype,2025-08-02,,
Pineapple Coconut Rice Mix,Food - Grains,Pulau Pinang,Skinder,Midel,38,54,955886625-3,334753820-X,A flavorful blend of rice with tropical pineapple and coconut flavors.,Kaymbo,2026-01-17,75.62,071121808
Crispy Tofu Bites,Food - Protein,Korolevo,Babbleopia,Podcat,65,30,281030020-8,587385331-2,,Blognation,2025-04-09,,111908965
Foot Massager Machine,Health,Da Nang,Centizu,Jatri,18,24,609224600-7,400566649-3,Electric foot massager for relaxation and relief.,Zooveo,2025-06-05,78.97,111904231
Rustic Italian Breads,Food - Bakery,Haruman,,Innojam,24,40,987946359-5,207054373-0,Freshly baked artisan bread with a crisp crust and soft center.,Pixoboo,2025-10-07,54.66,031308810
Pleated Midi Dress,Clothing - Dresses,,Abatz,Demimbu,74,68,020696718-7,445760317-1,"A stylish midi dress with stylish pleats, suitable for any occasion.",Centizu,2025-02-25,,114911807
Creamy Spinach Dip,Food - Prepared Foods,Hawassa,Yotz,Voonix,29,90,,554806342-1,"Deliciously creamy spinach dip, perfect for parties.",Wikido,,,271071004
Roasted Red Pepper Sauce,Food - Sauces,Novoshakhtinskiy,Yambee,Feedspan,46,79,977572866-5,868063734-3,Savory sauce perfect for pasta or dipping.,Yodoo,2026-01-10,79.33,031314749
Cinnamon Ice Cream,Food - Frozen Desserts,,Gabvine,,51,40,214416259-X,077252761-X,"Creamy ice cream with a warm cinnamon flavor, perfect for dessert.",Photobug,2025-07-01,79.82,113024504
Potato Wedge Seasoning,Food - Condiments,Mailag,Centidel,,74,61,022331770-5,490320532-0,Seasoning mix for making crispy and flavorful potato wedges.,Youspan,2026-01-05,56.82,084201139
Relaxed Fit Henley Shirt,Clothing - Tops,La Cumbre,,Linklinks,79,19,354448102-2,615464295-4,"A comfortable henley shirt made of soft cotton, perfect for casual outings.",Gabtune,,75.54,031302955
Chipotle Sauce,Food - Condiments,Brok,Browsedrive,Ainyx,79,61,301212455-1,337479352-5,Spicy sauce made with chipotle peppers,Oodoo,2025-02-11,64.05,031315382
Mayonnaise,Food - Condiments,Zhirnovsk,Skiptube,Topicshots,17,44,747766412-8,417585504-1,"Creamy mayonnaise, perfect for salads and sandwiches.",Gevee,2025-09-07,69.09,061205255
Savory Mushroom Risotto,Food - Gourmet Rice,Shebalino,Riffpedia,Skiba,50,80,875030676-6,,Creamy risotto infused with wild mushrooms.,Voonyx,2025-01-24,,122106154
Apple Cinnamon Breakfast Muffins,Food - Bakery,Hafnarfjörður,Eidel,Youtags,69,25,305370390-4,846241672-8,Delicious muffins filled with apples and a hint of cinnamon for breakfast.,Twiyo,2025-12-31,35.06,292970744
Screen Cleaning Kit,Electronics,,Flashpoint,Innotype,13,69,,683728540-8,Safe cleaning solution and tools for electronics screens.,Topicblab,2025-10-28,,111909825
Stainless Steel Mixing Bowls,Kitchen,Weetobula,Skynoodle,Kazio,74,44,540936651-4,225108709-5,Set of versatile mixing bowls for cooking.,Browseblab,2024-12-31,38.9,
Beef Chili,Food - Canned Goods,Anping,Vinder,Eadel,60,16,412927724-3,819716861-X,"Hearty beef chili, ready to heat and eat.",Myworks,2025-08-29,,073921323
Sun-Dried Tomato Pesto,Food - Condiments,Erqu,Edgewire,Gabtune,77,17,939904069-0,,A rich pesto made with sun-dried tomatoes and pine nuts.,Quinu,2025-05-26,22.4,125108191
Sweetened Condensed Milk,Food - Baking Goods,,,Feedspan,19,69,289381133-7,203035814-2,Rich and creamy milk perfect for baking or desserts.,Geba,2026-02-02,29.84,031300834
Artisan Bread,Food - Bakery,Samboan,Thoughtstorm,Jaloo,45,70,617241362-7,283050863-7,"Freshly baked artisan bread, perfect for sandwiches or toasting.",Twitterworks,2025-10-15,19.12,061104877
Vegan Mac & Cheese,Food - Frozen,Marseille,Jaloo,Katz,6,72,981773216-9,472176115-5,Creamy vegan mac and cheese made with cashew cheese.,Lajo,2025-01-07,5.35,
Silicone Baking Mats,Kitchen,Zalanga,Katz,Mycat,63,13,707866453-1,144994147-8,Reusable silicone mats for non-stick baking.,Rhynoodle,2025-09-18,85.31,061092332
Wireless Security Camera,Home,Magdeburg,Topicshots,Quimm,84,93,237700176-9,855062445-4,,Chatterbridge,2026-01-14,5.9,071002095
Hummus Trio Pack,Food - Snacks,Luisiana,Dabshots,Ntags,71,52,552280270-7,395654217-7,,Aimbu,2025-09-11,93.29,263190634
Pecan Nuts,Food - Snacks,Ganting,,Riffpedia,82,7,643356037-7,783211307-3,,Thoughtmix,2025-11-15,51.25,031001175
Travel Document Organizer,Travel,Sun Kunda,Tagtune,Realbridge,47,27,018464132-2,352284059-3,"Organize travel documents, passport, and cards.",Babblestorm,2025-05-10,79.12,242272188
Buffalo Sauce,Food - Condiments,Hechuan,Dazzlesphere,Twimbo,72,14,840067950-4,401190932-7,Spicy buffalo sauce ideal for wings or dipping.,Tagtune,2025-06-07,97.54,113000023
Ceramic Cookware Set,Kitchen,,Jabbersphere,Trudoo,84,22,034554297-5,413194248-8,,Lajo,2025-02-22,47.11,081503500
Pocket Blanket,Outdoor,Gerakaroú,Innojam,Cogidoo,82,20,677655073-5,708833539-5,"Compact, waterproof blanket for picnics and events.",Topiclounge,2025-08-20,82.71,112201218
Thai Green Curry Paste,Food - Sauces,Esperanza,Oba,Livetube,32,66,419973292-6,798331110-9,A rich curry paste for making authentic Thai green curry at home.,Layo,2025-07-14,22.47,065400153
Artisan Flatbreads,Food - Bakery,Iguig,,Flipstorm,24,82,,583205619-1,"Thin and crispy flatbreads, perfect for dips.",Flipopia,2025-08-07,,031313261
Smart Wi-Fi Camera,Smart Home,Damiao,Tagcat,,34,53,552558560-X,,,Edgeblab,,48.17,041201994
Chicken Parmesan Dinner Kit,Food - Frozen Meals,Malhou,Yakijo,Dabshots,73,80,143756061-X,247049808-2,,Ainyx,2025-09-02,93.78,071000301
Floral Wrap Top,Clothing - Tops,Balogo,Skinix,Centizu,23,44,094636140-1,910541208-0,,Ntag,2025-11-24,10.11,074914274
Electric Milk Frother,Kitchen,Dong Charoen,Browsezoom,Rhynyx,93,22,,392848274-2,Handheld frother for creating frothed milk for coffee.,Quimm,2026-01-16,52.28,274070439
Hand Crank Blender,Kitchen,Patía,Jabberstorm,Latz,2,31,203865096-9,162144101-6,Manual blender for smoothies and mixing ingredients on the go.,Kwideo,2025-07-25,22.94,103110237
Wireless Smart Plug,Smart Home,Galán,Blogspan,,84,58,341725239-3,120508805-9,Control home appliances remotely using your smartphone app.,Dynabox,2025-07-15,91.93,
Magic Color-Changing Mug,Kitchen,Chenzui,Tazz,Skimia,61,8,295299824-8,500625698-2,Heat-sensitive mug that changes color when filled with hot liquid.,Dazzlesphere,2025-06-17,90.55,061101799
Heated Throw Blanket,Home,Durrës,,Trudeo,51,19,590200291-5,564520233-3,Soft blanket that provides warmth with adjustable settings.,Skyble,2025-02-09,43.83,091403616
Plant Growing Kit,Garden,Bellavista,Gigazoom,,47,40,,202745647-3,Complete kit for growing herbs indoors.,Yombu,2025-10-11,88.86,067015973
Lentil Pasta,Food - Pasta,,Thoughtbridge,,60,84,231334966-7,396692845-0,"Gluten-free pasta made from lentils, high in protein.",Wordify,2025-09-05,57.33,071002053
Cranberry Almond Biscotti,Food - Bakery,Erie,Dablist,Skinix,94,9,241278017-X,636264937-0,Crispy and delicious biscotti flavored with cranberry and almond.,Oyonder,2025-05-30,97.5,071900786
Brown Sugar,Food - Baking,,Kare,Devbug,15,99,265227635-2,,"Raw brown sugar, perfect for baking or sweetening drinks.",,2025-10-07,39.19,073904188
Measuring Cups Set,Kitchen,Conner,Leenti,Dablist,13,7,235211470-5,761836138-X,Stackable measuring cups made from stainless steel.,Wordify,2025-10-04,56.98,082907545
Set of Gardening Gloves with Claws,Garden,Shizi,Photobean,Rhycero,71,78,448416672-0,793351674-2,Multi-functional gloves for planting and digging without tools.,Flashspan,2025-06-24,88.0,
Magnetic Spice Containers,Kitchen,Ouro Sogui,Mita,Photofeed,99,44,923704674-X,087054267-2,Set of magnetic jars for convenient spice organization.,Mycat,2025-08-23,17.65,051502175
Cherry Almond Protein Bar,Food - Snacks,Ilhabela,,Thoughtstorm,22,82,686012611-6,926777406-9,,Zoomcast,2025-10-18,9.17,101200518
Asian Stir-Fry Vegetables,Food - Frozen Foods,Catanduva,Youfeed,Twitternation,19,96,792084192-5,877411560-X,,Jaxspan,2025-06-17,,091016498
Portable Laptop Table,Office,Alicia,Twinder,Roombo,93,82,126938865-7,,Foldable table for working with laptops anywhere.,Tekfly,2026-02-15,31.11,111912401
Smashed Avocado with Lime,Food - Condiments,Santo Amaro,Jaxnation,Brightdog,73,27,627856719-9,936785952-X,"A creamy blend of avocados and lime juice, great for spreads or dips.",Eadel,2025-09-01,13.12,071905095
Elegant Lace Dress,Clothing - Dresses,Janūb as Surrah,Realcube,Shufflebeat,15,43,914129600-1,009300556-3,,Twitterbeat,2025-01-18,74.53,071908869
Sriracha Sauce,Food - Condiments,,Yozio,Linkbuzz,46,99,416787212-9,615751084-6,Spicy chili sauce for an extra kick in your meals.,Myworks,2025-06-05,47.32,103108249
Handheld Garment Steamer,Home,Wansheng,Voomm,Vipe,94,71,405320097-0,,Quick and easy way to remove wrinkles from clothes.,Gabtune,2025-03-24,31.29,
Travel Shoe Bags Set,Travel,Kayl,Dynabox,Photojam,5,18,,840049221-8,Set of breathable bags for organizing shoes while traveling.,Brightbean,2026-01-24,35.53,122240418
Electric Milk Frother,Kitchen,Berlin,Pixonyx,Skyble,78,75,167576795-5,371421201-9,Handheld frother for creating frothed milk for coffee.,Thoughtsphere,2025-05-28,90.98,063109935
Athletic Jogging Jacket,Clothing - Outerwear,Qal‘eh-ye Khvājeh,Meezzy,,76,52,619699015-2,,,Youbridge,2025-12-20,,
Pasta Portion Control Measure,Kitchen,,Jaloo,Devpoint,35,47,902762749-5,944943358-5,Tool for measuring perfect pasta portions every time.,Gigaclub,,52.33,073919416
Mini Hand Gesture Drone,Toys,Habartov,Bluezoom,Wordware,89,94,133650100-6,078691471-8,Toy drone that flies with gestures and is easy to control.,Yakijo,2025-11-06,78.46,
Electric Air Pump,Outdoor,,Zava,Skiba,34,25,931680303-9,721952156-1,Fast and convenient air pump for inflating toys and furniture.,Lazz,2025-07-06,,122105155
Desk Organizer Set,Office,Beijiang,Shufflebeat,Chatterbridge,51,52,233186510-8,573226706-9,Stylish desk set to keep your workspace tidy and organized.,Trupe,2025-04-17,51.14,065104611
Elderberry Syrup,Food - Supplements,Sawo,Voolith,Brainbox,60,50,790076720-7,718193480-5,Natural elderberry syrup to boost immunity.,Zoomdog,2025-04-20,82.72,065506222
Basmati Rice,Food - Grains,‘Ūrīf,Dynazzy,Centizu,42,15,427667588-X,,"Aromatic long-grain basmati rice, perfect for curries.",Jatri,2025-04-07,96.03,271972381
Chocolate Fudge Ice Cream,Food - Frozen Desserts,Krupanj,BlogXS,,23,33,836515477-3,,Rich and creamy chocolate fudge ice cream for dessert.,,2025-10-19,21.02,104908257
Travel Yoga Mat,Fitness,Jasienica,,Eare,39,14,637538871-6,754657221-5,Lightweight yoga mat for practicing on the go.,Innojam,2025-06-13,23.07,061120327
Multi-Port USB Hub,Electronics,Jinchuan,Topiczoom,Browsetype,83,90,766700736-5,622790763-4,USB hub for expanding ports on computers and laptops.,Jaxspan,2025-12-14,65.24,
Buffalo Wing Sauce,Food - Condiments,Linoan,Yakitri,Oba,5,19,901005005-X,391183178-1,Spicy sauce perfect for chicken wings and dipping.,Tagfeed,2026-01-15,69.36,084202837
Smartphone Projector,Electronics,Troyes,Centizu,Quaxo,92,40,,781942829-5,DIY projector that magnifies your smartphone screen for movie nights.,Topiclounge,2025-07-05,31.65,083907955
Chocolate Coconut Protein Balls,Food - Snacks,Lodan Wetan,Dabshots,Quamba,55,30,102674287-0,739734132-2,No-bake protein balls with chocolate and coconut flavors.,Quimm,2025-08-04,34.46,082900937
Chickpea Snack Mix,Food - Snacks,Karavan,Meembee,Mynte,49,89,834472281-0,569969150-2,"Crunchy, seasoned chickpeas for a wholesome snack.",Thoughtstorm,2025-11-19,8.39,064009241
Gardening Fairy Figurines,Garden,Kaélé,Bluejam,Yodo,48,66,276505097-X,556954188-8,Cute fairy figurines to decorate your garden or potted plants.,Tagcat,,92.86,101114691
Spinach and Cheese Stuffed Shells,Food - Frozen Meals,Dadong,Youbridge,Yakidoo,1,29,075125352-9,,Delicious pasta shells filled with spinach and cheese,Zoozzy,2025-11-16,14.23,221976861
Breathable Face Mask Set,Health,Kapshagay,Feedbug,Blogtag,18,50,944024095-4,411326246-2,Comfortable and reusable face masks in different styles.,Buzzbean,2025-08-12,,065302196
Puffer Winter Coat,Clothing - Outerwear,Sioux Falls,Flashpoint,Cogidoo,100,70,590173026-7,160219873-X,A warm and stylish puffer coat perfect for winter weather.,Latz,2025-09-05,57.24,
Veggie Lovers Pizza,Food - Frozen Foods,Aguazul,Thoughtbridge,Feedfire,71,55,240031854-9,,Frozen pizza loaded with fresh vegetables and mozzarella cheese.,Devify,2025-02-09,66.7,112322634
Tomato Basil Soup,Food - Canned Goods,Las Lajas,Kayveo,Myworks,37,32,081941071-3,031856444-0,"A classic soup combining tomatoes and basil, great with grilled cheese sandwiches.",Vitz,2025-08-25,38.44,063109430
Apple Cinnamon Oatmeal,Food - Breakfast,Oleksandrivka,Divanoodle,Skinder,85,85,392676476-7,873589422-9,Warm oatmeal flavored with apple and cinnamon.,Photojam,2025-02-28,14.92,071922609
Whipped Cream Cheese,Food - Dairy,Teutônia,Feedfish,Photofeed,55,20,694645183-X,232879152-2,"Light and fluffy cream cheese, perfect for bagels or cooking.",Eayo,2025-06-07,,103102481
Silicone Baking Mat,Kitchen,Meget,Buzzshare,Voomm,20,8,247867476-9,709533068-9,Non-stick baking mat for easy cooking and cleanup.,Quamba,2025-06-22,76.89,072414297
Pocket Blanket,Outdoor,Zhoukou,Jabberstorm,Leexo,87,90,697352897-X,642029298-0,"Compact, waterproof blanket for picnics and events.",Kwilith,2025-06-28,61.77,061209756
Artisan Bread Loaf,Food - Bakery,Troitskoye,Gabcube,Skinix,79,46,711729910-X,622805745-6,"Fresh artisan bread, perfect for sandwiches",Yata,2025-06-27,49.19,075000019
Sliced Cucumbers,Food - Produce,Yaodu,Yabox,Skynoodle,28,1,248156333-6,418824207-8,"Freshly sliced cucumbers, great for salads or snacking.",Twitterwire,2025-01-13,80.13,075901354
Personalized Pet ID Tags,Pets,Verkhnyaya Belka,Mydo,Zoozzy,100,75,929522949-5,492447384-7,Custom engraved ID tags for pets with your contact information.,Flashset,2025-07-10,27.72,
Fitness Resistance Bands,Fitness,Shiyuan,Linkbridge,Twimbo,57,19,829968205-3,,Set of resistance bands for home workouts.,Dabtype,2025-07-16,46.33,122238200
Blackberry Compote,Food - Condiments,Pomerode,Jabberbean,Bluejam,90,76,112109969-6,456577923-4,"Sweet blackberry compote, perfect for topping desserts.",Jayo,,,065301566
Peanut Butter Protein Balls,Food - Snacks,Naga,Kazio,Riffpedia,80,53,096712818-8,730874527-9,No-bake energy bites made with peanut butter and oats.,Gabtype,2025-04-14,89.51,251473787
Puffed Rice Cake,Food - Snacks,Carmen de Viboral,,Trudoo,4,60,360764974-X,353094511-0,Low-calorie rice cake for snacks.,Chatterbridge,2025-09-03,1.64,113122655
Stylish Wireless Earbuds,Audio,La Cocha,Muxo,Jayo,15,38,,674780972-6,True wireless earbuds with excellent sound quality.,Browsecat,2025-07-24,50.28,072414297
Sweet Chili Sauce,Food - Condiments,Clarin,Buzzbean,Thoughtblab,42,56,473910848-8,972527332-X,"A sweet and spicy sauce, great for dipping or cooking.",Aimbu,2025-08-28,72.53,071112684
Mini Hand Gesture Drone,Toys,Bijeli,Rooxo,Jaloo,68,11,008554925-8,412633871-3,Toy drone that flies with gestures and is easy to control.,Thoughtworks,,,244172082
Sesame Oil,Food - Oils & Vinegars,Kuta,Jayo,Skinder,49,2,107807348-1,966438192-6,Nutty-scented oil for stir-fry and marinades.,Vinder,,70.68,104902127
Chicken Salad Kit,Food - Prepared Foods,Batangafo,Buzzdog,,5,39,816280574-5,127134446-7,All-in-one kit for making delicious chicken salad.,Dabfeed,2025-09-18,18.84,021913655
Brussels Sprouts,Food - Produce,Bagaces,Photobug,Eimbee,95,82,322280155-X,034297343-6,"Fresh Brussels sprouts, great for roasting or steaming.",Gabtune,2025-04-30,78.16,107005953
Grapes (red),Food - Produce,Bamut,Centizu,Yambee,88,43,907349645-4,215135226-9,"Fresh seedless red grapes, perfect for snacking.",Jatri,2026-01-29,34.94,071916916
Portable Hammock Swing,Outdoor,,Fadeo,Bubblebox,74,52,690665887-5,478628231-6,Lightweight and portable swing hammock for relaxing outdoors.,Shufflebeat,2026-02-14,11.51,091310628
Kombucha Drink,Food - Beverages,Kozmice,Fadeo,Thoughtblab,63,42,370375155-X,024217824-3,"Refreshing and tangy fermented tea, available in various flavors.",Skyndu,2025-06-03,42.22,011201380
Graphic Sweatshirt,Clothing - Tops,Gręboszów,Oyonder,,90,38,835860578-1,,A comfortable sweatshirt featuring a bold graphic print.,Voolia,2025-12-10,2.93,031376017
Mango Chutney,Food - Condiments,Bouillon,Meemm,Buzzbean,85,11,901940536-5,,Sweet and tangy mango chutney for a flavorful dip.,Voonyx,,57.5,103101165
Organic Spinach,Food - Produce,Quzi,Yotz,,86,75,732046449-7,,"Fresh organic spinach, great for salads or cooking.",Flashpoint,2025-01-02,24.03,
Cinnamon Sugar Tortilla Chips,Food - Snacks,Rancageneng Satu,Innotype,Kwinu,94,1,,024491818-X,"Crispy chips with a sweet twist, perfect for dipping.",Yadel,2025-10-15,21.24,051050339
Computer Monitor Stand,Office,Uzdin,Zoomcast,Vidoo,2,99,140833318-X,536019826-5,Ergonomic monitor stand for improved workspace organization.,Gigabox,2025-11-05,1.34,073920900
Foot Spa Bath Massager,Health,Hirara,LiveZ,Riffpath,55,63,171045380-X,805637026-9,Relax and soothe tired feet with this foot spa.,Flipstorm,2025-04-04,1.79,107003298
First Aid Kit,Health,Meitang,Linkbridge,Riffpedia,7,32,,367794038-9,Comprehensive first aid kit for emergency situations.,Fiveclub,2025-02-27,,104903294
Compact Hair Dryer,Beauty,,Twitterwire,Quimm,70,41,955361529-5,408124718-8,,Aivee,2025-11-08,82.53,111101461
Fitbit Activity Tracker,Fitness,Lordegān,Aivee,Dynabox,31,82,451051912-5,096011040-2,Advanced wristband that tracks daily activities and sleep.,Skimia,2025-06-11,13.06,107005254
Chickpea Flour,Food - Baking,Gaoqiao,Yozio,Minyx,32,41,129166370-3,566036148-X,"Gluten-free flour made from ground chickpeas, great for cooking.",,2025-08-21,53.97,111322457
Sparkling Blood Orange Soda,Food - Beverages,Strellc i Epërm,Wordware,Trunyx,42,87,991696991-4,,,Oloo,2025-07-12,92.26,321174262
Foldable Yoga Mat Carry Bag,Fitness,Shapaja,Midel,Aimbo,76,9,260975492-2,,Durable bag for carrying your yoga mat and accessories.,Buzzster,,,104111769
Children's Educational Workbook,Books,Sukadana Selatan,Mynte,Eazzy,25,54,333774817-1,,Activity workbook for early learning and fun.,Zooveo,2025-11-30,71.15,021272626
LED Strip Lights Kit,Home,San Antonio,Oba,Oodoo,94,65,409974146-X,830830439-7,DIY LED strip lights with remote control.,Skaboo,2025-08-11,91.4,011110675
Sketchbook,Art Supplies,Ziliang,Zooveo,Browsezoom,53,30,,226242678-3,High-quality sketchbook for artists.,Tagcat,2026-02-09,62.45,102105269
Sriracha Sauce,Food - Condiments,Lazurne,Dabjam,Skyba,45,22,,020211399-X,Spicy chili sauce for an extra kick in your meals.,,2025-09-05,,113119105
Electric Milk Frother,Kitchen,Sheki,Thoughtbridge,,38,17,926658591-2,288153194-6,Handheld frother for creating frothed milk for coffee.,Twitternation,2025-08-24,31.54,064109057
Weighted Blanket,Health,Gandu,Trunyx,Katz,42,94,503090409-3,574669171-2,Therapeutic weighted blanket for better sleep.,Devbug,2025-09-16,71.34,103013211
Adjustable Dumbbells,Fitness,Pembuanghulu,,Mudo,63,35,301707201-0,958530604-2,Space-saving adjustable dumbbells for strength training.,BlogXS,2025-03-28,81.05,031318907
Mini Projector,Electronics,Poiares,Skivee,,16,25,226772899-0,222110632-6,Portable projector with 1080p resolution for movies.,Realfire,,90.58,322275678
Sesame Garlic Stir-Fry Sauce,Food - Sauces,Ostrowsko,Gigabox,Topiczoom,65,47,892341153-1,212486704-0,A flavorful sauce for stir-frying vegetables and meats.,Yamia,2025-12-20,59.79,073909578
Frozen Spinach,Food - Frozen Foods,Pantukan,Yakijo,Plambee,46,61,725481465-0,818516416-9,,Kanoodle,2026-02-05,67.53,
Caraway Rye Bread,Food - Bakery,Ilhéus,Agivu,Tagtune,54,76,251713560-6,317917057-3,Artisan bread with caraway seeds for added flavor.,Skimia,2025-11-07,15.5,086506955
Instant Camera,Photography,Angoulême,Babblestorm,Vimbo,26,12,907107967-8,409537299-0,Retro instant camera for capturing and printing photos instantly.,Quimba,2025-09-08,90.34,053107963
Maple Syrup,Food - Condiments,Tunasbaru,Yodel,,7,24,,344801825-2,Pure maple syrup for pancakes and more.,Dablist,2025-02-21,33.64,
Bluetooth Headphones,Audio,Piotrków Trybunalski,Riffpedia,Talane,75,88,957397887-3,977193446-5,Noise-cancelling Bluetooth headphones for immersive sound.,Brightbean,2025-08-25,65.2,
Zucchini,Food - Produce,Sūrān,Abatz,Zoomzone,22,12,118547654-7,659796123-4,"Fresh zucchini, versatile for grilling or sautéing.",Geba,2025-12-19,28.04,091402905
Kids' Science Experiment Kit,Toys,Xekar,Eidel,Gigabox,83,55,408699115-2,723743397-0,Engaging kit with science experiments for children.,Photobean,2025-04-22,38.09,231371579
Rechargeable Electric Screwdriver,Tools,Ágios Stéfanos,Bubblebox,,11,93,165070441-0,,Convenient electric screwdriver for DIY projects at home.,Livefish,2025-01-19,83.29,111923898
Nutritional Yeast,Food - Pantry,Mixco,Youopia,,41,56,,119603718-3,A healthy vegan cheese alternative packed with nutrients and flavor.,,2025-07-04,55.44,081518113
Oven-Baked Cheese Crisps,Food - Snacks,Bauan,,Pixoboo,97,53,866997533-5,254968551-2,Crispy cheese snacks that melt in your mouth.,Skaboo,,75.65,084302122
Maple Oatmeal,Food - Breakfast,Abovyan,Livetube,Zoomlounge,1,63,577840665-7,266605370-9,,Skiptube,2025-01-27,66.42,321170538
Electric Griddle with Lid,Kitchen,Dallas,Dabjam,Riffpedia,71,77,713638493-1,,"Non-stick griddle for pancakes, burgers, and more.",Photobug,,95.0,021213397
Black Bean Spaghetti,Food - Pasta,Poříčí nad Sázavou,Devpulse,Skiptube,28,15,,281820272-8,"High-protein pasta made from black beans, gluten-free.",Gabtune,2025-11-18,37.4,053112453
Lentil Vegetable Curry,Food - Prepared Meals,Garbolovo,Camimbo,Photobug,3,21,847602231-X,132671680-8,A flavorful lentil curry cooked with vegetables and spices.,Realmix,2026-01-11,63.3,107000327
Breezy Off-The-Shoulder Top,Clothing - Tops,Pasrūr,Jaxnation,Mymm,85,90,870853538-8,535439105-9,A light and breezy top ideal for warm days.,Buzzbean,2025-12-07,58.94,111925430
Chocolate Chip Energy Balls,Food - Snacks,Waipukang,Camimbo,Zoomlounge,5,91,135237880-9,382397784-9,"No-bake energy balls made with oats, chocolate chips, and honey.",Fadeo,2025-06-26,70.07,043001024
Pet Travel Carrier,Pets,,Skinix,Brainsphere,88,47,991326538-X,876656908-7,Comfortable carrier for small pets during travel.,Lazzy,2026-01-15,25.07,271189491
Sports Bottle,Fitness,,Rhynyx,Photojam,61,46,,,BPA-free sports bottle with flip-top lid.,Twitterworks,2025-06-04,44.33,
Digital Thermostat,Home,Sundumbili,Mydo,,51,58,451344772-9,950143499-0,Programmable digital thermostat for home heating.,Abata,2025-10-19,94.48,072401831
Glass Tea Pot,Kitchen,Saint Louis,Oyope,,79,41,,490428946-3,Elegant glass teapot for brewing loose tea.,Twitterworks,2025-08-06,,111910267
Floral Wrap Top,Clothing - Tops,Dostoyevka,Skimia,Omba,45,44,465968087-8,052272086-2,A feminine wrap top with a beautiful floral print.,Livepath,2025-09-29,73.35,323270436
Travel Orthopedic Pillow,Travel,Karangtengah,Skinix,Wikido,18,5,066428725-5,869650043-1,Supportive pillow that provides comfort while traveling.,Tavu,2025-04-07,56.43,021205253
Cushion Covers,Home,,Youtags,Photobug,60,42,072600732-3,396385869-9,Set of decorative cushion covers for home decor.,Pixope,,62.62,101001283
Hand Crank Blender,Kitchen,Borlänge,Topicstorm,Plajo,38,97,631536734-8,875707357-0,Manual blender for smoothies and mixing ingredients on the go.,Linkbridge,2026-01-26,64.44,
Cinnamon Rolls,Food - Bakery,Comalapa,Topicware,Jabberbean,26,37,497610025-1,659064449-7,,,2025-09-04,,103101482
Herb-Infused Olive Oil,Food - Oils,Berthierville,Browsecat,Realpoint,12,35,581048645-2,830327907-6,Premium olive oil infused with herbs for enhanced flavor.,Aimbu,2026-02-03,92.8,063104697
Air Purifier,Home,Tozeur,Realpoint,Meejo,96,30,631993138-8,607879028-5,HEPA air purifier for clean indoor air.,Skipfire,2025-04-22,86.71,071002707
Fitness Balance Ball,Fitness,Tagoloan,Meetz,Feedmix,40,6,356722404-2,921824713-1,,Eazzy,2025-01-19,,071925745
Pet Hair Removal Roller,Pets,Şabyā,,Skimia,92,47,243933556-8,873838023-4,Lint roller designed specifically for removing pet hair from furniture.,,2025-11-28,69.56,042100175
Teriyaki Chicken Stir-Fry,Food - Frozen Foods,Brumado,Voonix,Realcube,88,3,125397216-8,227871066-4,"Frozen stir-fry mix with chicken, veggies, and teriyaki sauce.",Dynabox,2025-04-29,51.47,114901147
Maple Cinnamon Granola,Food - Cereals,,Devpulse,Linklinks,11,37,087565587-4,939841027-3,"Crunchy granola mixed with maple syrup and cinnamon, perfect for breakfast or snacks.",Fadeo,2025-02-07,84.31,121000497
Coconut Macaroons,Food - Confectionery,,Photospace,Gabcube,74,46,849726532-7,967489438-1,"Chewy cookies made with coconut, perfect for sweet cravings.",Wikido,2025-02-01,86.27,104900116
Sweet Potato Mash,Food - Frozen Foods,Pingdingshan,Jetpulse,Fanoodle,48,66,671798660-3,902761462-8,"Creamy mashed sweet potatoes, ready to heat and serve.",Divanoodle,2025-02-11,56.04,111312739
Spinach and Feta Wraps,Food - Prepared Foods,Nagoselo do Douro,Bubbletube,Centidel,11,76,743110082-5,634356049-1,Whole wheat wraps filled with spinach and feta cheese.,Yoveo,,,081517897
Winter Knit Beanie,Clothing,San Isidro,Aibox,Aimbu,51,84,589798428-X,813966461-8,Cozy beanie hat to keep your head warm in the cold.,Flipstorm,2025-03-18,65.44,
